Label,x,y,z,x acc,y acc,z acc,yaw,pitch,roll,yaw acc,pitch acc,roll acc
DSLR1_IMG_0027.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.485096,10.74208204,5.634700656,0.01,0.01,0.01
DSLR1_IMG_0028.jpg,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4879612,10.72891684,5.653296751,0.01,0.01,0.01
DSLR1_IMG_0037.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4593334,10.67166314,5.67775077,0.01,0.01,0.01
DSLR1_IMG_0040.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4844526,10.68720073,5.700705792,0.01,0.01,0.01
DSLR1_IMG_0049.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4732698,10.6017622,5.716306784,0.01,0.01,0.01
DSLR1_IMG_0050.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5174771,10.57382242,5.689890796,0.01,0.01,0.01
DSLR1_IMG_0052.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5210539,10.60490231,5.722648724,0.01,0.01,0.01
DSLR1_IMG_0053.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5040666,10.6118823,5.735070874,0.01,0.01,0.01
DSLR1_IMG_0061.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4684907,10.5767549,5.704919741,0.01,0.01,0.01
DSLR1_IMG_0062.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5488037,10.50128474,5.713322013,0.01,0.01,0.01
DSLR1_IMG_0065.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5152188,10.23623259,4.59557925,0.01,0.01,0.01
DSLR1_IMG_0075.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.496786,10.0647688,4.519626738,0.01,0.01,0.01
DSLR1_IMG_0076.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5491301,10.11208941,4.494805557,0.01,0.01,0.01
DSLR1_IMG_0088.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.5794122,9.968870656,4.308433828,0.01,0.01,0.01
DSLR1_IMG_0091.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4712886,10.17215083,4.418928285,0.01,0.01,0.01
DSLR1_IMG_0101.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4665674,10.05913333,4.434519652,0.01,0.01,0.01
DSLR1_IMG_0102.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.449268,10.13481542,4.417977628,0.01,0.01,0.01
DSLR1_IMG_0104.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.466174,10.15454402,4.445104808,0.01,0.01,0.01
DSLR1_IMG_0128.tif,762811.7361,3295763.519,4059.4979,0.01,0.01,0.01,234.4623539,10.10202881,4.399362542,0.01,0.01,0.01
