NAME,Easting (m),Northing (m),ALT,SigmaN (m) ,SigmaE (m),SigmaZ (m)
B1,761933.8358,3294961.057,4133.374543,0.5,0.5,0.5
B2,762044.8084,3294966.331,4104.179047,0.5,0.5,0.5
B3,762321.6636,3295167.304,4051.346307,0.5,0.5,0.5
B4,762346.5661,3295126.702,4064.975034,0.5,0.5,0.5
B5,762604.8852,3295019.082,4117.365645,0.5,0.5,0.5
P1,762471.3436,3295497.217,4009.713352,0.1,0.1,0.1
P2,762487.9427,3295477.722,4017.65345,0.1,0.1,0.1
P3,762529.0962,3295468.606,4013.544821,0.1,0.1,0.1
P4,762550.6418,3295432.412,4028.543944,0.1,0.1,0.1
P5,762571.3973,3295402.236,4039.41043,0.1,0.1,0.1
P6,762594.7062,3295399.95,4037.639168,0.1,0.1,0.1
P7,762638.5808,3295354.2,4057.489958,0.1,0.1,0.1
P8,762666.6226,3295335.863,4062.75993,0.1,0.1,0.1
P9,762705.7673,3295325.634,4063.679935,0.1,0.1,0.1
